0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1.208,1.0745,104.28,0.7433,0.7017,1.2826,1.3367,6.529,7.8247,18568.0,574.84,3104.2,232.06,121.78,1777.86,77.51,91.028,0.255,1.018,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,24.04,1842.1,45.66,2.444,13340.8,16641.5,3672.88,26615.0,22.43,6707.5,26236.0,3.523,6563.5,5553.0,21985.0,8174.0,113.93,12358.88,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.75,0.98,0.13,0.27,0.18,-0.05,0.08,1607555146.2617517
1.2078,1.0743,104.3,0.7432,0.7014,1.2825,1.3361,6.529,7.823,18550.0,574.12,3104.2,232.06,121.78,1777.86,77.52,91.028,0.255,1.018,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,24.02,1841.55,45.64,2.44,13343.5,16641.5,3673.62,26620.0,22.43,6709.5,26236.0,3.523,6563.9,5553.0,21985.0,8174.0,113.93,12356.88,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.75,0.95,0.15,0.27,0.12,-0.04,0.13,1607555397.9591722
1.2079,1.0743,104.29,0.7434,0.7016,1.2823,1.3364,6.529,7.8238,18564.5,575.0,3104.2,232.06,121.78,1777.86,77.53,91.028,0.255,1.017,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,24.017,1840.95,45.67,2.437,13345.8,16641.5,3674.38,26620.0,22.38,6705.5,26236.0,3.523,6566.1,5553.0,21985.0,8174.0,113.93,12362.88,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.75,0.95,0.15,0.27,0.12,-0.04,0.13,1607555648.6132545
1.208,1.0744,104.29,0.7435,0.7018,1.2824,1.3364,6.529,7.824,18607.0,576.55,3104.2,232.06,121.78,1777.86,77.52,91.028,0.255,1.016,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,23.992,1839.7,45.7,2.439,13348.5,16641.5,3674.88,26617.5,22.38,6703.5,26236.0,3.523,6565.6,5553.0,21985.0,8174.0,113.93,12363.25,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.78,0.91,0.06,0.35,0.14,-0.04,0.13,1607555889.224614
1.2079,1.0743,104.29,0.7434,0.7016,1.2826,1.3354,6.529,7.8242,18620.0,576.16,3104.2,232.06,121.78,1777.86,77.51,91.028,0.255,1.017,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,23.983,1839.15,45.7,2.436,13346.7,16641.5,3674.25,26610.0,22.43,6707.5,26236.0,3.523,6564.8,5553.0,21985.0,8174.0,113.93,12362.12,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.77,0.89,0.06,0.38,0.12,-0.04,0.13,1607556131.5189788
1.2076,1.0744,104.3,0.7433,0.7014,1.2825,1.3348,6.529,7.8248,18622.0,576.43,3104.2,232.06,121.78,1777.86,77.52,91.028,0.255,1.017,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,23.988,1839.45,45.72,2.44,13348.5,16641.5,3674.62,26615.0,22.45,6709.5,26236.0,3.523,6566.1,5553.0,21985.0,8174.0,113.93,12362.38,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.75,0.89,0.06,0.35,0.14,-0.04,0.13,1607556370.8943417
1.2077,1.0743,104.29,0.7432,0.7014,1.2829,1.3349,6.529,7.8244,18622.0,576.14,3104.2,232.06,121.78,1777.86,77.52,91.028,0.255,1.017,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,23.988,1839.15,45.69,2.436,13352.1,16641.5,3675.88,26612.5,22.42,6712.5,26236.0,3.523,6567.4,5553.0,21985.0,8174.0,113.93,12366.25,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.72,0.92,0.06,0.35,0.14,-0.04,0.13,1607556612.3624897
1.2077,1.0742,104.29,0.7432,0.7014,1.2829,1.3349,6.529,7.825,18598.0,575.21,3104.2,232.06,121.78,1777.86,77.51,91.028,0.256,1.017,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,24.01,1840.5,45.7,2.437,13349.3,16641.5,3675.38,26627.5,22.42,6711.0,26236.0,3.523,6566.5,5553.0,21985.0,8174.0,113.93,12364.0,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.65,0.99,0.06,0.35,0.14,-0.04,0.13,1607556850.5091343
1.2078,1.0743,104.3,0.7434,0.7015,1.2829,1.3352,6.529,7.8246,18588.0,574.54,3104.2,232.06,121.78,1777.86,77.55,91.028,0.256,1.018,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,23.995,1839.45,45.67,2.437,13348.4,16641.5,3675.12,26647.5,22.42,6708.5,26236.0,3.523,6566.5,5553.0,21985.0,8174.0,113.93,12366.38,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.75,0.94,0.06,0.35,0.1,-0.03,0.16,1607557095.1749392
1.208,1.0744,104.3,0.7437,0.7017,1.2826,1.336,6.529,7.8247,18562.0,574.8,3104.2,232.06,121.78,1777.86,77.55,91.028,0.256,1.018,0.933,0.538,0.017,0.015,0.749,1.688,0.938,0.407,0.151,0.086,0.076,-0.188,-0.61,-0.801,-0.784,-0.771,-0.796,24.015,1839.65,45.73,2.438,13354.7,16641.5,3676.88,26657.5,22.42,6705.0,26236.0,3.523,6569.7,5553.0,21985.0,8174.0,113.93,12370.62,86.61,136.46,44.69,34.37,172.455,112.47,7.785,28.69,7.99,59.67,5.435,1.75,0.94,0.06,0.35,0.1,-0.03,0.16,1607557344.4936066
