0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1.2112,1.0789,104.03,0.7418,0.7038,1.2798,1.3369,6.52,7.8026,19138.0,590.53,3158.0,238.17,123.75,1817.03,77.18,90.865,0.283,1.013,0.936,0.574,0.054,0.017,0.765,1.681,0.925,0.388,0.143,0.094,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.66,1866.7,45.7,2.441,13246.2,16924.0,3682.88,26322.5,22.68,6658.5,26517.5,3.523,6513.5,5561.5,22105.0,8235.0,104.42,12578.88,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607382329.9565976
1.2113,1.079,104.02,0.7419,0.7039,1.2798,1.3363,6.52,7.8037,19124.0,589.82,3158.0,238.17,123.75,1817.03,77.16,90.865,0.283,1.013,0.938,0.574,0.054,0.017,0.765,1.681,0.925,0.388,0.143,0.094,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.67,1867.1,45.71,2.452,13247.1,16924.0,3683.12,26325.0,22.62,6660.0,26517.5,3.523,6514.0,5561.5,22105.0,8235.0,104.42,12578.5,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607382579.4366179
1.2112,1.079,104.01,0.7418,0.7039,1.2798,1.3357,6.52,7.8022,19111.8,589.18,3158.0,238.17,123.75,1817.03,77.15,90.865,0.283,1.013,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.68,1867.35,45.7,2.447,13246.2,16924.0,3682.62,26322.5,22.62,6659.5,26517.5,3.523,6514.0,5561.5,22105.0,8235.0,104.42,12579.75,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607382835.3303404
1.2112,1.079,104.02,0.7416,0.7037,1.28,1.3359,6.52,7.8023,19109.0,589.19,3158.0,238.17,123.75,1817.03,77.14,90.865,0.283,1.013,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.688,1867.2,45.66,2.454,13246.2,16924.0,3682.88,26325.0,22.68,6667.5,26517.5,3.523,6514.0,5561.5,22105.0,8235.0,104.42,12580.25,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607383093.9583166
1.2113,1.0792,104.02,0.7417,0.7038,1.2804,1.3359,6.52,7.8033,19124.3,589.29,3158.0,238.17,123.75,1817.03,77.14,90.865,0.283,1.013,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.715,1867.6,45.7,2.452,13246.2,16924.0,3682.88,26330.0,22.68,6670.5,26517.5,3.523,6514.0,5561.5,22105.0,8235.0,104.42,12581.12,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607383334.0954533
1.2113,1.0791,104.01,0.7416,0.7037,1.2804,1.3356,6.52,7.8036,19150.0,589.7,3158.0,238.17,123.75,1817.03,77.14,90.865,0.283,1.013,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.715,1867.95,45.7,2.448,13245.8,16924.0,3682.75,26337.5,22.7,6673.0,26517.5,3.523,6513.5,5561.5,22105.0,8235.0,104.42,12580.62,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607383571.0011566
1.2114,1.0792,104.01,0.7417,0.7038,1.2803,1.3355,6.52,7.803,19179.1,592.52,3158.0,238.17,123.75,1817.03,77.14,90.865,0.283,1.013,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.715,1868.0,45.64,2.45,13246.2,16924.0,3682.88,26340.0,22.7,6668.5,26517.5,3.523,6514.0,5561.5,22105.0,8235.0,104.42,12583.75,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607383814.3290505
1.2114,1.079,103.99,0.7419,0.7038,1.2804,1.3354,6.52,7.8019,19190.0,592.85,3158.0,238.17,123.75,1817.03,77.15,90.865,0.279,1.013,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.72,1868.0,45.64,2.449,13249.8,16924.0,3684.12,26370.0,22.67,6672.5,26517.5,3.523,6516.2,5561.5,22105.0,8235.0,104.42,12585.75,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607384063.3168616
1.2113,1.0793,104.03,0.7418,0.7039,1.2802,1.3355,6.52,7.8019,19197.0,592.04,3158.0,238.17,123.75,1817.03,77.16,90.865,0.279,1.015,0.938,0.574,0.054,0.017,0.765,1.686,0.928,0.391,0.145,0.091,0.079,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.695,1867.2,45.69,2.447,13249.8,16924.0,3683.88,26372.5,22.7,6675.5,26517.5,3.523,6515.8,5561.5,22105.0,8235.0,104.42,12584.88,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607384320.4612772
1.2113,1.0789,104.02,0.7418,0.7039,1.2801,1.3355,6.52,7.8021,19213.0,592.85,3158.0,238.17,123.75,1817.03,77.16,90.865,0.279,1.015,0.938,0.574,0.054,0.017,0.765,1.684,0.926,0.386,0.145,0.094,0.091,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.705,1868.05,45.66,2.447,13250.7,16924.0,3684.12,26365.0,22.67,6673.5,26517.5,3.523,6516.2,5561.5,22105.0,8235.0,104.42,12583.88,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607384570.6179457
1.2112,1.079,104.01,0.7419,0.7039,1.28,1.3356,6.52,7.8019,19218.2,592.83,3158.0,238.17,123.75,1817.03,77.15,90.865,0.279,1.015,0.938,0.574,0.054,0.017,0.765,1.684,0.926,0.386,0.145,0.094,0.091,-0.162,-0.583,-0.78,-0.758,-0.751,-0.762,24.712,1868.05,45.67,2.446,13251.6,16924.0,3684.62,26392.5,22.7,6679.5,26517.5,3.523,6516.6,5561.5,22105.0,8235.0,104.42,12584.0,86.795,137.105,44.595,34.165,174.9,112.47,7.955,28.775,8.055,58.57,5.5,1.65,0.65,0.12,0.34,0.09,-0.05,0.1,1607384816.6755986
