0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1.2128,1.0813,104.18,0.7432,0.7046,1.2782,1.3419,6.517,7.805,19185.0,594.89,3162.58,232.71,122.25,1823.76,77.43,90.797,0.348,1.066,0.958,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.325,1840.45,46.21,2.474,13267.6,17060.0,3703.38,26875.0,22.38,6695.5,26836.0,3.536,6564.4,5606.5,22190.0,8268.5,103.72,12555.25,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.56,0.64,0.1,0.35,0.09,-0.1,0.1,1607295857.2357543
1.2129,1.0812,104.24,0.7432,0.7044,1.2782,1.342,6.517,7.8048,19235.0,595.62,3162.58,232.71,122.25,1823.76,77.47,90.797,0.348,1.073,0.961,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.32,1840.75,46.24,2.476,13302.0,17060.0,3701.38,26885.0,22.42,6698.5,26836.0,3.536,6562.0,5606.5,22190.0,8268.5,103.72,12553.0,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.56,0.64,0.1,0.35,0.09,-0.1,0.1,1607296103.7915661
1.2131,1.0811,104.23,0.7436,0.7048,1.2779,1.342,6.517,7.805,19268.0,597.21,3162.58,232.71,122.25,1823.76,77.51,90.797,0.348,1.073,0.963,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.35,1841.2,46.23,2.464,13307.4,17060.0,3701.88,26885.0,22.38,6699.5,26836.0,3.536,6564.7,5606.5,22190.0,8268.5,103.72,12551.5,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.56,0.64,0.1,0.35,0.09,-0.1,0.1,1607296344.9397454
1.2131,1.081,104.23,0.7435,0.7046,1.2782,1.3421,6.517,7.8039,19396.0,601.67,3162.58,232.71,122.25,1823.76,77.49,90.797,0.348,1.073,0.963,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.315,1839.85,46.18,2.47,13289.4,17060.0,3697.38,26860.0,22.43,6695.0,26836.0,3.536,6555.2,5606.5,22190.0,8268.5,103.72,12546.25,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.56,0.64,0.1,0.35,0.09,-0.1,0.1,1607296599.8805761
1.2127,1.0812,104.24,0.7433,0.7046,1.2781,1.3419,6.517,7.8046,19433.0,603.24,3162.58,232.71,122.25,1823.76,77.48,90.797,0.348,1.077,0.963,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.255,1837.6,46.14,2.474,13286.7,17060.0,3696.38,26857.5,22.48,6695.5,26836.0,3.536,6554.3,5606.5,22190.0,8268.5,103.72,12544.38,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.69,0.68,0.21,0.3,0.09,-0.05,0.1,1607296854.902978
1.2126,1.081,104.23,0.7434,0.7045,1.2781,1.3419,6.517,7.805,19417.7,603.21,3162.58,232.71,122.25,1823.76,77.48,90.797,0.348,1.077,0.963,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.27,1838.4,46.22,2.472,13290.0,17060.0,3697.12,26855.0,22.48,6706.0,26836.0,3.536,6554.8,5606.5,22190.0,8268.5,103.72,12551.62,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.69,0.68,0.14,0.37,0.09,-0.05,0.1,1607297099.6129103
1.2127,1.0808,104.23,0.7433,0.7045,1.2783,1.3417,6.517,7.805,19371.0,601.94,3162.58,232.71,122.25,1823.76,77.44,90.797,0.348,1.077,0.963,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.27,1838.0,46.22,2.463,13295.0,17060.0,3698.62,26870.0,22.42,6712.0,26836.0,3.536,6555.2,5606.5,22190.0,8268.5,103.72,12549.0,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.71,0.69,0.12,0.39,0.09,-0.05,0.1,1607297357.362403
1.2126,1.0809,104.23,0.7431,0.7044,1.2783,1.3417,6.517,7.805,19381.0,601.78,3162.58,232.71,122.25,1823.76,77.47,90.797,0.348,1.076,0.963,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.285,1838.8,46.2,2.466,13303.1,17060.0,3700.62,26832.5,22.42,6710.5,26836.0,3.536,6559.9,5606.5,22190.0,8268.5,103.72,12546.0,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.65,0.7,0.15,0.36,0.09,-0.05,0.1,1607297606.2610462
1.2128,1.081,104.2,0.7432,0.7043,1.2779,1.3419,6.517,7.8049,19391.0,602.83,3162.58,232.71,122.25,1823.76,77.43,90.797,0.348,1.076,0.968,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.242,1837.65,46.16,2.459,13297.7,17060.0,3698.75,26812.5,22.48,6710.5,26836.0,3.536,6557.2,5606.5,22190.0,8268.5,103.72,12546.38,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.65,0.7,0.15,0.36,0.09,-0.05,0.1,1607297853.169999
1.2124,1.081,104.21,0.743,0.7042,1.2784,1.3414,6.517,7.8051,19401.0,603.17,3162.58,232.71,122.25,1823.76,77.43,90.797,0.348,1.077,0.968,0.59,0.075,0.019,0.796,1.741,0.973,0.423,0.153,0.096,0.084,-0.126,-0.553,-0.758,-0.741,-0.749,-0.761,24.25,1837.7,46.15,2.461,13301.3,17060.0,3700.12,26830.0,22.43,6709.0,26836.0,3.536,6560.1,5606.5,22190.0,8268.5,103.72,12550.0,86.865,137.05,44.74,34.51,172.285,112.47,7.945,29.07,7.81,58.53,5.51,1.65,0.7,0.15,0.36,0.09,-0.05,0.1,1607298110.91431
