0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
1.2141,1.0758,104.24,0.7533,0.7093,1.2745,1.3301,6.5362,7.8875,18341.0,563.14,3.10149,234.43,123.24,1767.65,78.55,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.135,1840.3,47.0,2.572,13287.4,16720.0,3667.38,26660.0,22.48,6646.5,26533.5,3.517,6592.1,5539.0,21897.5,8141.0,114.66,12386.12,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.1,0.77,0.18,0.27,0.05,0.05,0.03,1607641471.0355728
1.2142,1.0759,104.23,0.7536,0.7096,1.2744,1.3302,6.5362,7.8888,18353.0,563.51,3101.49,234.43,123.24,1767.65,78.55,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.137,1840.6,47.0,2.567,13290.6,16720.0,3668.38,26665.0,22.48,6649.5,26533.5,3.517,6593.5,5539.0,21897.5,8141.0,114.66,12388.38,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.1,0.77,0.18,0.25,0.07,0.02,0.05,1607641720.238584
1.2142,1.0758,104.23,0.7536,0.7098,1.2743,1.3302,6.5362,7.8892,18348.0,562.6,3101.49,234.43,123.24,1767.65,78.55,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.145,1840.55,47.03,2.568,13294.6,16720.0,3669.38,26665.0,22.42,6649.5,26533.5,3.517,6594.8,5539.0,21897.5,8141.0,114.66,12389.0,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.15,0.77,0.18,0.25,0.07,0.02,0.05,1607641976.9448342
1.2145,1.0759,104.24,0.7536,0.7098,1.2742,1.3302,6.5362,7.8897,18360.0,562.88,3101.49,234.43,123.24,1767.65,78.54,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.15,1840.7,47.02,2.569,13290.9,16720.0,3668.62,26657.5,22.42,6647.5,26533.5,3.517,6593.9,5539.0,21897.5,8141.0,114.66,12389.5,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.15,0.75,0.2,0.25,0.07,0.02,0.05,1607642218.8979883
1.2142,1.076,104.24,0.7536,0.7097,1.2742,1.3302,6.5362,7.8896,18360.0,562.38,3101.49,234.43,123.24,1767.65,78.54,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.155,1840.95,47.05,2.57,13294.6,16720.0,3669.62,26665.0,22.42,6653.5,26533.5,3.517,6595.7,5539.0,21897.5,8141.0,114.66,12394.12,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.15,0.75,0.2,0.25,0.07,0.02,0.05,1607642467.0297062
1.2144,1.0762,104.24,0.7534,0.7096,1.2739,1.3304,6.5362,7.8919,18372.0,562.75,3101.49,234.43,123.24,1767.65,78.54,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.16,1841.25,47.05,2.569,13297.3,16720.0,3670.38,26665.0,22.42,6652.5,26533.5,3.517,6597.1,5539.0,21897.5,8141.0,114.66,12400.62,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.15,0.8,0.17,0.25,0.1,0.02,0.05,1607642711.40066
1.2144,1.0761,104.26,0.7536,0.7097,1.2742,1.3305,6.5362,7.8906,18384.0,562.51,3101.49,234.43,123.24,1767.65,78.55,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.148,1840.4,47.05,2.569,13296.4,16720.0,3670.12,26667.5,22.38,6650.0,26533.5,3.517,6596.6,5539.0,21897.5,8141.0,114.66,12401.38,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.16,0.8,0.17,0.25,0.1,0.02,0.05,1607642949.6946905
1.2143,1.0761,104.27,0.7535,0.7098,1.2739,1.3306,6.5362,7.8894,18355.0,561.33,3101.49,234.43,123.24,1767.65,78.55,90.78,0.215,0.993,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.15,1840.25,47.06,2.57,13301.8,16720.0,3671.62,26685.0,22.38,6656.5,26533.5,3.517,6599.3,5539.0,21897.5,8141.0,114.66,12403.0,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.2,0.8,0.17,0.25,0.1,0.02,0.05,1607643201.6935687
1.2143,1.076,104.26,0.7534,0.7098,1.2743,1.3305,6.5362,7.8895,18306.0,560.67,3101.49,234.43,123.24,1767.65,78.53,90.78,0.202,0.99,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.122,1839.9,47.09,2.571,13308.5,16720.0,3673.88,26722.5,22.38,6663.5,26533.5,3.517,6602.2,5539.0,21897.5,8141.0,114.66,12409.25,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.18,0.82,0.17,0.25,0.1,0.02,0.05,1607643450.1487799
1.2144,1.0761,104.24,0.7531,0.7095,1.2743,1.3302,6.5362,7.8922,18295.0,559.0,3101.49,234.43,123.24,1767.65,78.48,90.78,0.202,0.99,0.887,0.528,0.012,0.02,0.734,1.628,0.906,0.385,0.139,0.084,0.076,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.105,1839.65,47.09,2.571,13305.8,16720.0,3673.0,26707.5,22.38,6661.5,26533.5,3.517,6600.6,5539.0,21897.5,8141.0,114.66,12406.5,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.16,0.83,0.17,0.25,0.1,0.02,0.05,1607643691.0498974
1.2143,1.076,104.23,0.7529,0.7094,1.2744,1.3302,6.5362,7.8917,18299.0,559.19,3101.49,234.43,123.24,1767.65,78.46,90.78,0.202,0.99,0.887,0.528,0.012,0.02,0.734,1.633,0.911,0.388,0.141,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.105,1839.25,47.11,2.569,13304.8,16720.0,3672.88,26715.0,22.38,6662.5,26533.5,3.517,6600.6,5539.0,21897.5,8141.0,114.66,12403.25,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.14,0.85,0.17,0.25,0.1,0.02,0.05,1607643936.530633
1.2141,1.0758,104.23,0.7526,0.7093,1.2744,1.3301,6.5362,7.8926,18297.0,560.19,3101.49,234.43,123.24,1767.65,78.43,90.78,0.202,0.989,0.885,0.528,0.012,0.02,0.734,1.633,0.911,0.388,0.141,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.105,1839.05,47.12,2.563,13303.5,16720.0,3672.38,26712.5,22.38,6660.5,26533.5,3.517,6599.2,5539.0,21897.5,8141.0,114.66,12400.62,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.14,0.85,0.17,0.25,0.1,0.02,0.05,1607644175.4811647
1.2143,1.0759,104.21,0.7525,0.7093,1.2741,1.3302,6.5362,7.8932,18294.0,560.04,3101.49,234.43,123.24,1767.65,78.41,90.78,0.202,0.989,0.885,0.528,0.012,0.02,0.734,1.633,0.911,0.388,0.141,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.095,1839.65,47.09,2.565,13300.3,16720.0,3671.75,26690.0,22.4,6657.5,26533.5,3.517,6598.8,5539.0,21897.5,8141.0,114.66,12397.5,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.15,0.8,0.17,0.28,0.07,0.02,0.05,1607644433.2629461
1.2142,1.0757,104.2,0.7524,0.7092,1.2741,1.3303,6.5362,7.8911,18282.0,560.42,3101.49,234.43,123.24,1767.65,78.39,90.78,0.202,0.989,0.885,0.528,0.012,0.02,0.734,1.633,0.911,0.388,0.141,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.115,1840.25,47.08,2.564,13300.8,16720.0,3671.75,26670.0,22.38,6659.5,26533.5,3.517,6599.7,5539.0,21897.5,8141.0,114.66,12405.0,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.15,0.8,0.18,0.27,0.07,0.02,0.05,1607644673.2055535
1.2144,1.0759,104.19,0.7524,0.7094,1.2742,1.3305,6.5362,7.8911,18255.0,558.01,3101.49,234.43,123.24,1767.65,78.38,90.78,0.202,0.989,0.885,0.528,0.012,0.02,0.734,1.633,0.911,0.388,0.141,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.122,1840.85,47.09,2.564,13298.0,16720.0,3672.12,26690.0,22.38,6657.5,26533.5,3.517,6600.1,5539.0,21897.5,8141.0,114.66,12407.25,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.16,0.8,0.18,0.27,0.07,0.02,0.05,1607644930.4414535
1.2145,1.0759,104.17,0.753,0.7095,1.2741,1.3307,6.5362,7.8909,18290.0,560.02,3101.49,234.43,123.24,1767.65,78.45,90.78,0.202,0.989,0.885,0.528,0.012,0.02,0.734,1.633,0.91,0.385,0.139,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.15,1842.35,47.06,2.548,13306.2,16720.0,3674.12,26750.0,22.35,6658.5,26533.5,3.517,6604.0,5539.0,21897.5,8141.0,114.66,12411.62,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.2,0.8,0.17,0.28,0.05,0.1,0.0,1607645180.9989836
1.2146,1.0758,104.12,0.7534,0.7097,1.2741,1.3308,6.5362,7.89,18248.0,558.03,3101.49,234.43,123.24,1767.65,78.42,90.78,0.202,0.989,0.885,0.528,0.012,0.02,0.734,1.633,0.91,0.385,0.139,0.084,0.079,-0.19,-0.612,-0.794,-0.778,-0.747,-0.776,24.157,1842.3,47.05,2.553,13304.4,16720.0,3673.62,26697.5,22.38,6655.5,26533.5,3.517,6601.9,5539.0,21897.5,8141.0,114.66,12408.25,86.76,137.12,44.59,34.29,172.17,112.47,7.575,28.755,7.98,61.31,5.33,2.2,0.8,0.17,0.25,0.1,0.07,0.0,1607645431.2552958
